player,player_id,team_id,reset_throws,reset_aec,reset_aec_per_throw,avg_reset_cp,avg_reset_yards
Brayden Morrison,bmorrison,flyers,40,-1.544826557549608,-0.0386206639387402,0.9809877440941659,-4.042999999999998
Ryan Dinger,rdinger,glory,109,-4.22915814048558,-0.03879961596775761,0.9804394392727217,-6.491467889908257
John Marsh,jmarsh1,union,71,-2.785579532803642,-0.039233514546530165,0.9838610555679059,-5.480140845070423
Elliot  Hawkins,ehawkins,alleycats,81,-3.1864965680157673,-0.039339463802663795,0.9767232234767673,-6.543950617283952
Scott Heyman,sheyman,phoenix,47,-1.853633849299672,-0.039439018070205785,0.9775427912957141,-6.504042553191489
Derek Mourad,dmourad,cascades,88,-3.471351591383157,-0.039447177174808605,0.973433536156243,-4.893409090909091
Luke Yorgason,lyorgason,shred,52,-2.059681239234199,-0.03960925460065767,0.9816626992181987,-5.101923076923078
Kevin Pignone,kpignone,flyers,28,-1.1120304492647795,-0.039715373188027835,0.9762980883451137,-5.560357142857143
Allan Laviolette,alaviolet,flyers,36,-1.4376734157356321,-0.039935372659323114,0.9813062609288582,-5.291666666666667
Myles Armstrong,marmstron,sol,41,-1.6416947116853513,-0.04004133443135003,0.9767903173249498,-5.848780487804879
Nathan De Morgan,ndemorgan,windchill,55,-2.202444697338672,-0.04004444904252131,0.9808740583823448,-6.050363636363636
Jack Williams,jwilliams,empire,50,-2.0094745349886285,-0.04018949069977257,0.9800406521404775,-5.2698
Austin Gould,agould,apex,25,-1.006406967725742,-0.040256278709029675,0.9854602473430709,-4.414000000000001
Luc Comire,lcomire,rush,35,-1.4132417820337901,-0.04037833662953686,0.9840401627513763,-5.223142857142857
Tristan Van de Moortele,tvandemoo,windchill,25,-1.0162627843419192,-0.04065051137367677,0.9783841514166005,-4.4395999999999995
Thomas Edmonds,tedmonds,glory,111,-4.532446525005912,-0.04083285157662984,0.9793138706648495,-5.226846846846848
Eric Sjostrom,esjostrom,radicals,49,-2.0027067654523885,-0.04087156664188548,0.9691022887186648,-7.701224489795918
Matt LaBar,mlabar,empire,71,-2.9101968403749985,-0.04098868789260561,0.9801618176146422,-6.2574647887323955
Suhas Madiraju,smadiraju1,flyers,26,-1.0659814708714632,-0.040999287341210125,0.9803579805713295,-3.6776923076923067
Lukas McClamrock,lmcclamro,hustle,38,-1.5586590191566838,-0.041017342609386415,0.9810788042505332,-4.612105263157894
Brendan McCann,bmccann,glory,36,-1.4836952156745105,-0.041213755990958625,0.9794617745313767,-3.928611111111112
Peter Boerth,pboerth,glory,52,-2.144017644231002,-0.04123110854290389,0.9805665679889058,-5.817692307692307
Kai Schniedergers,kschniede,empire,25,-1.0355133062929973,-0.04142053225171989,0.9815548429304115,-6.754000000000001
AJ Merriman,amerriman,breeze,42,-1.7404124045608125,-0.04143839058478125,0.9780066299204515,-6.100476190476191
Kevin Quinlan,kquinlan,royal,57,-2.3642759554165584,-0.041478525533623835,0.9845498856719894,-4.429298245614035
Ezra Beidler-Shenk,ebeidlers,phoenix,83,-3.4445177059214505,-0.04150021332435482,0.9804991079623296,-5.4315662650602405
Paul Krenik,pkrenik,windchill,38,-1.582227436803751,-0.0416375641264145,0.9820599859695442,-5.609473684210526
Avi Ghitterman,aghitterm,alleycats,41,-1.7168966910305783,-0.0418755290495263,0.9814642114474968,-3.709756097560975
Ryan Wolfe,rwolfe,steel,31,-1.3043182993847444,-0.04207478385112079,0.9821414041112837,-4.363548387096775
