type,line,time,puller,pullX,pullY,pullMs,thrower,throwerX,throwerY,receiver,receiverX,receiverY,defender,turnoverX,turnoverY,team_side
18,,,,,,,lcomire,0.24,9.74,asehgal,-0.79,22.92,,,,home
18,,,,,,,asehgal,-0.79,22.92,lcomire,-9.1,28.69,,,,home
18,,,,,,,lcomire,-9.1,28.69,dmiller2,-24.48,33.98,,,,home
18,,,,,,,dmiller2,-24.48,33.98,lcomire,-24.41,59.38,,,,home
20,,,,,,,lcomire,-24.41,59.38,amuraoka,-5.6,109.49,,,,home
13,,,,,,,,,,,,,,,,home
22,,,,,,,amuraoka,-3.13,69.26,,,,,-24.34,98.3,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,lcomire,14.86,26.15,asehgal,20.21,41.94,,,,home
22,,,,,,,asehgal,20.21,41.94,,,,,15.54,106.4,home
16,,,,,,,,,,,,,,,,home
5,"['zarmstron', 'tpuckrin', 'khuang', 'orobinson', 'jmcclean', 'cchan', 'lcomire']",309.0,,,,,,,,,,,,,,home
11,,,,,,,,,,,,,tpuckrin,,,home
18,,,,,,,cchan,-6.29,52.1,khuang,-21.66,63.43,,,,home
18,,,,,,,khuang,-21.66,63.43,cchan,-14.39,47.43,,,,home
18,,,,,,,cchan,-14.39,47.43,orobinson,15.89,37.96,,,,home
18,,,,,,,orobinson,15.89,37.96,tpuckrin,20.9,65.9,,,,home
18,,,,,,,tpuckrin,20.9,65.9,orobinson,12.04,54.23,,,,home
18,,,,,,,orobinson,12.04,54.23,lcomire,19.25,65.42,,,,home
19,,,,,,,lcomire,19.25,65.42,cchan,19.32,104.41,,,,home
1,"['amuraoka', 'kjay', 'ostonehou', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",357.0,,,,,,,,,,,,,,home
7,,,amuraoka,-5.19,89.86,6663.0,,,,,,,,,,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,kjay,-4.91,49.63,lcomire,-11.23,48.87,,,,home
18,,,,,,,lcomire,-11.23,48.87,kjay,-2.78,50.73,,,,home
18,,,,,,,kjay,-2.78,50.73,dmiller2,2.91,49.29,,,,home
18,,,,,,,dmiller2,2.91,49.29,amuraoka,-0.79,42.76,,,,home
18,,,,,,,amuraoka,-0.79,42.76,lcomire,-13.77,71.67,,,,home
18,,,,,,,lcomire,-13.77,71.67,dmiller2,-11.57,85.33,,,,home
19,,,,,,,dmiller2,-11.57,85.33,amuraoka,-8.21,107.57,,,,home
